Harvest a Field
# first street, first avenue, num streets, num avenues showing 
0 0 20 20
# intersection size (in pixels) 
38
# things
   #becker.robots.Thing 1 1
   
# wall
becker.robots.Wall 1 1 Direction.WEST
becker.robots.Wall 2 1 Direction.WEST
becker.robots.Wall 3 1 Direction.WEST
becker.robots.Wall 4 1 Direction.WEST
becker.robots.Wall 5 1 Direction.WEST
becker.robots.Wall 6 1 Direction.WEST
becker.robots.Wall 7 1 Direction.WEST
becker.robots.Wall 8 1 Direction.WEST
becker.robots.Wall 9 1 Direction.WEST
becker.robots.Wall 14 1 Direction.WEST
becker.robots.Wall 15 1 Direction.WEST
becker.robots.Wall 10 1 Direction.WEST
becker.robots.Wall 11 1 Direction.WEST
becker.robots.Wall 12 1 Direction.WEST
becker.robots.Wall 13 1 Direction.WEST
becker.robots.Wall 1 1 Direction.NORTH
becker.robots.Wall 1 2 Direction.NORTH
becker.robots.Wall 1 3 Direction.NORTH
becker.robots.Wall 1 4 Direction.NORTH
becker.robots.Wall 1 5 Direction.NORTH
becker.robots.Wall 1 6 Direction.NORTH
becker.robots.Wall 1 7 Direction.NORTH
becker.robots.Wall 1 8 Direction.NORTH
becker.robots.Wall 1 9 Direction.NORTH
becker.robots.Wall 1 10 Direction.NORTH
becker.robots.Wall 1 11 Direction.NORTH
becker.robots.Wall 1 12 Direction.NORTH
becker.robots.Wall 1 13 Direction.NORTH
becker.robots.Wall 4 1 Direction.NORTH
becker.robots.Wall 5 1 Direction.NORTH
becker.robots.Wall 6 1 Direction.NORTH
becker.robots.Wall 7 1 Direction.NORTH
becker.robots.Wall 8 1 Direction.NORTH
becker.robots.Wall 9 1 Direction.NORTH
becker.robots.Wall 10 1 Direction.NORTH
becker.robots.Wall 11 1 Direction.NORTH
becker.robots.Wall 12 1 Direction.NORTH
becker.robots.Wall 13 1 Direction.NORTH
becker.robots.Wall 14 1 Direction.NORTH

becker.robots.Wall 14 2 Direction.NORTH
becker.robots.Wall 14 3 Direction.NORTH
becker.robots.Wall 14 4 Direction.NORTH
becker.robots.Wall 14 5 Direction.NORTH
becker.robots.Wall 14 6 Direction.NORTH

becker.robots.Wall 14 8 Direction.NORTH
becker.robots.Wall 14 9 Direction.NORTH
becker.robots.Wall 14 10 Direction.NORTH
becker.robots.Wall 14 11 Direction.NORTH
becker.robots.Wall 14 12 Direction.NORTH
becker.robots.Wall 14 13 Direction.NORTH

becker.robots.Wall 15 1 Direction.SOUTH
becker.robots.Wall 15 2 Direction.SOUTH
becker.robots.Wall 15 4 Direction.SOUTH
becker.robots.Wall 15 6 Direction.SOUTH
becker.robots.Wall 15 8 Direction.SOUTH
becker.robots.Wall 15 10 Direction.SOUTH
becker.robots.Wall 15 12 Direction.SOUTH
becker.robots.Wall 15 13 Direction.SOUTH

becker.robots.Wall 1 13 Direction.EAST
becker.robots.Wall 2 13 Direction.EAST
becker.robots.Wall 3 13 Direction.EAST
becker.robots.Wall 4 13 Direction.EAST
becker.robots.Wall 5 13 Direction.EAST
becker.robots.Wall 6 13 Direction.EAST
becker.robots.Wall 7 13 Direction.EAST
becker.robots.Wall 8 13 Direction.EAST
becker.robots.Wall 9 13 Direction.EAST
becker.robots.Wall 10 13 Direction.EAST
becker.robots.Wall 11 13 Direction.EAST
becker.robots.Wall 12 13 Direction.EAST
becker.robots.Wall 13 13 Direction.EAST
becker.robots.Wall 14 13 Direction.EAST
becker.robots.Wall 15 13 Direction.EAST

